"Date Time, GMT-07:00","Temp, °F ","Temp, °C",Date
1/1/2017 0:01,45.21,7.34,2017/01/01
1/1/2017 0:15,45.21,7.34,2017/01/01
1/1/2017 0:30,45.21,7.34,2017/01/01
1/1/2017 0:45,45.21,7.34,2017/01/01
1/1/2017 1:01,45.21,7.34,2017/01/01
1/1/2017 1:15,45.21,7.34,2017/01/01
1/1/2017 1:30,45.21,7.34,2017/01/01
1/1/2017 1:45,45.21,7.34,2017/01/01
1/1/2017 2:01,45.21,7.34,2017/01/01
1/1/2017 2:15,45.21,7.34,2017/01/01
1/1/2017 2:30,45.19,7.33,2017/01/01
1/1/2017 2:45,45.19,7.33,2017/01/01
1/1/2017 3:01,45.19,7.33,2017/01/01
1/1/2017 3:15,45.18,7.32,2017/01/01
1/1/2017 3:30,45.18,7.32,2017/01/01
1/1/2017 3:45,45.18,7.32,2017/01/01
1/1/2017 4:01,45.18,7.32,2017/01/01
1/1/2017 4:15,45.18,7.32,2017/01/01
1/1/2017 4:30,45.18,7.32,2017/01/01
1/1/2017 4:45,45.19,7.33,2017/01/01
1/1/2017 5:01,45.19,7.33,2017/01/01
1/1/2017 5:15,45.19,7.33,2017/01/01
1/1/2017 5:30,45.18,7.32,2017/01/01
1/1/2017 5:45,45.18,7.32,2017/01/01
1/1/2017 6:01,45.18,7.32,2017/01/01
1/1/2017 6:15,45.18,7.32,2017/01/01
1/1/2017 6:30,45.18,7.32,2017/01/01
1/1/2017 6:45,45.18,7.32,2017/01/01
1/1/2017 7:01,45.18,7.32,2017/01/01
1/1/2017 7:15,45.18,7.32,2017/01/01
1/1/2017 7:30,45.19,7.33,2017/01/01
1/1/2017 7:45,45.19,7.33,2017/01/01
1/1/2017 8:01,45.19,7.33,2017/01/01
1/1/2017 8:15,45.19,7.33,2017/01/01
1/1/2017 8:30,45.19,7.33,2017/01/01
1/1/2017 8:45,45.18,7.32,2017/01/01
1/1/2017 9:01,45.18,7.32,2017/01/01
1/1/2017 9:15,45.18,7.32,2017/01/01
1/1/2017 9:30,45.16,7.31,2017/01/01
1/1/2017 9:45,45.14,7.30,2017/01/01
1/1/2017 10:01,45.14,7.30,2017/01/01
1/1/2017 10:15,45.14,7.30,2017/01/01
1/1/2017 10:30,45.12,7.29,2017/01/01
1/1/2017 10:45,45.12,7.29,2017/01/01
1/1/2017 11:01,45.10,7.28,2017/01/01
1/1/2017 11:15,45.12,7.29,2017/01/01
1/1/2017 11:30,45.14,7.30,2017/01/01
1/1/2017 11:45,45.16,7.31,2017/01/01
1/1/2017 12:01,45.18,7.32,2017/01/01
1/1/2017 12:15,45.19,7.33,2017/01/01
1/1/2017 12:30,45.23,7.35,2017/01/01
1/1/2017 12:45,45.27,7.37,2017/01/01
1/1/2017 13:01,45.30,7.39,2017/01/01
1/1/2017 13:15,45.34,7.41,2017/01/01
1/1/2017 13:30,45.36,7.42,2017/01/01
1/1/2017 13:45,45.37,7.43,2017/01/01
1/1/2017 14:01,45.41,7.45,2017/01/01
1/1/2017 14:15,45.45,7.47,2017/01/01
1/1/2017 14:30,45.48,7.49,2017/01/01
1/1/2017 14:45,45.50,7.50,2017/01/01
1/1/2017 15:01,45.54,7.52,2017/01/01
1/1/2017 15:15,45.57,7.54,2017/01/01
1/1/2017 15:30,45.61,7.56,2017/01/01
1/1/2017 15:45,45.63,7.57,2017/01/01
1/1/2017 16:01,45.64,7.58,2017/01/01
1/1/2017 16:15,45.66,7.59,2017/01/01
1/1/2017 16:30,45.68,7.60,2017/01/01
1/1/2017 16:45,45.68,7.60,2017/01/01
1/1/2017 17:01,45.68,7.60,2017/01/01
1/1/2017 17:15,45.70,7.61,2017/01/01
1/1/2017 17:30,45.70,7.61,2017/01/01
1/1/2017 17:45,45.70,7.61,2017/01/01
1/1/2017 18:01,45.70,7.61,2017/01/01
1/1/2017 18:15,45.70,7.61,2017/01/01
1/1/2017 18:30,45.70,7.61,2017/01/01
1/1/2017 18:45,45.70,7.61,2017/01/01
1/1/2017 19:01,45.68,7.60,2017/01/01
1/1/2017 19:15,45.68,7.60,2017/01/01
1/1/2017 19:30,45.66,7.59,2017/01/01
1/1/2017 19:45,45.66,7.59,2017/01/01
1/1/2017 20:01,45.64,7.58,2017/01/01
1/1/2017 20:15,45.64,7.58,2017/01/01
1/1/2017 20:30,45.63,7.57,2017/01/01
1/1/2017 20:45,45.61,7.56,2017/01/01
1/1/2017 21:01,45.59,7.55,2017/01/01
1/1/2017 21:15,45.57,7.54,2017/01/01
1/1/2017 21:30,45.55,7.53,2017/01/01
1/1/2017 21:45,45.54,7.52,2017/01/01
1/1/2017 22:01,45.52,7.51,2017/01/01
1/1/2017 22:15,45.50,7.50,2017/01/01
1/1/2017 22:30,45.46,7.48,2017/01/01
1/1/2017 22:45,45.45,7.47,2017/01/01
1/1/2017 23:01,45.45,7.47,2017/01/01
1/1/2017 23:15,45.45,7.47,2017/01/01
1/1/2017 23:30,45.45,7.47,2017/01/01
1/1/2017 23:45,45.46,7.48,2017/01/01
1/2/2017 0:01,45.46,7.48,2017/01/02
1/2/2017 0:15,45.46,7.48,2017/01/02
1/2/2017 0:30,45.46,7.48,2017/01/02
1/2/2017 0:45,45.46,7.48,2017/01/02
1/2/2017 1:01,45.46,7.48,2017/01/02
1/2/2017 1:15,45.34,7.41,2017/01/02
1/2/2017 1:30,45.34,7.41,2017/01/02
1/2/2017 1:45,45.39,7.44,2017/01/02
1/2/2017 2:01,45.45,7.47,2017/01/02
1/2/2017 2:15,45.46,7.48,2017/01/02
1/2/2017 2:30,45.48,7.49,2017/01/02
1/2/2017 2:45,45.50,7.50,2017/01/02
1/2/2017 3:01,45.46,7.48,2017/01/02
1/2/2017 3:15,45.39,7.44,2017/01/02
1/2/2017 3:30,45.43,7.46,2017/01/02
1/2/2017 3:45,45.45,7.47,2017/01/02
1/2/2017 4:01,45.46,7.48,2017/01/02
1/2/2017 4:15,45.36,7.42,2017/01/02
1/2/2017 4:30,45.41,7.45,2017/01/02
1/2/2017 4:45,45.45,7.47,2017/01/02
1/2/2017 5:01,45.45,7.47,2017/01/02
1/2/2017 5:15,45.45,7.47,2017/01/02
1/2/2017 5:30,45.46,7.48,2017/01/02
1/2/2017 5:45,45.46,7.48,2017/01/02
1/2/2017 6:01,45.46,7.48,2017/01/02
1/2/2017 6:15,45.45,7.47,2017/01/02
1/2/2017 6:30,45.45,7.47,2017/01/02
1/2/2017 6:45,45.45,7.47,2017/01/02
1/2/2017 7:01,45.43,7.46,2017/01/02
1/2/2017 7:15,45.43,7.46,2017/01/02
1/2/2017 7:30,45.43,7.46,2017/01/02
1/2/2017 7:45,45.43,7.46,2017/01/02
1/2/2017 8:01,45.43,7.46,2017/01/02
1/2/2017 8:15,45.43,7.46,2017/01/02
1/2/2017 8:30,45.45,7.47,2017/01/02
1/2/2017 8:45,45.43,7.46,2017/01/02
1/2/2017 9:01,45.43,7.46,2017/01/02
1/2/2017 9:15,45.43,7.46,2017/01/02
1/2/2017 9:30,45.43,7.46,2017/01/02
1/2/2017 9:45,45.41,7.45,2017/01/02
